Postcode,Area,SourceOfFunding,EffectiveFrom,EffectiveTo
CA8 2JF,NTCA,117,01/08/2020,
CA8 7BB,NTCA,117,01/08/2020,
CA8 7BD,NTCA,117,01/08/2020,
CA8 7BE,NTCA,117,01/08/2020,
CA8 7BG,NTCA,117,01/08/2020,
CA8 7BH,NTCA,117,01/08/2020,
CA8 7BJ,NTCA,117,01/08/2020,
CA8 7BL,NTCA,117,01/08/2020,
CA8 7BN,NTCA,117,01/08/2020,
CA8 7BQ,NTCA,117,01/08/2020,
CA8 7BU,NTCA,117,01/08/2020,
CA8 7DH,NTCA,117,01/08/2020,
CA8 7DL,NTCA,117,01/08/2020,
CA8 7DN,NTCA,117,01/08/2020,
CA8 7DP,NTCA,117,01/08/2020,
CA8 7DR,NTCA,117,01/08/2020,
CA8 7DS,NTCA,117,01/08/2020,
CA8 7DW,NTCA,117,01/08/2020,
CA8 7DX,NTCA,117,01/08/2020,
CA8 7EA,NTCA,117,01/08/2020,
CA8 7EB,NTCA,117,01/08/2020,
CA8 7EH,NTCA,117,01/08/2020,
CA8 7EJ,NTCA,117,01/08/2020,
CA8 7EL,NTCA,117,01/08/2020,
CA8 7EN,NTCA,117,01/08/2020,
CA8 7EP,NTCA,117,01/08/2020,
CA8 7EW,NTCA,117,01/08/2020,
CA8 7HA,NTCA,117,01/08/2020,
CA8 7HB,NTCA,117,01/08/2020,
CA8 7HD,NTCA,117,01/08/2020,
CA8 7HE,NTCA,117,01/08/2020,
CA8 7HF,NTCA,117,01/08/2020,
CA8 7HG,NTCA,117,01/08/2020,
CA8 7HH,NTCA,117,01/08/2020,
CA8 7HJ,NTCA,117,01/08/2020,
CA8 7HL,NTCA,117,01/08/2020,
CA8 7HN,NTCA,117,01/08/2020,
CA8 7HP,NTCA,117,01/08/2020,
CA8 7HR,NTCA,117,01/08/2020,
CA8 7HS,NTCA,117,01/08/2020,
CA8 7HT,NTCA,117,01/08/2020,
CA8 7HU,NTCA,117,01/08/2020,
CA8 7HX,NTCA,117,01/08/2020,
CA8 7HY,NTCA,117,01/08/2020,
CA8 7HZ,NTCA,117,01/08/2020,
CA8 7JA,NTCA,117,01/08/2020,
CA8 7JB,NTCA,117,01/08/2020,
CA8 7JD,NTCA,117,01/08/2020,
CA8 7JF,NTCA,117,01/08/2020,
CA8 7JG,NTCA,117,01/08/2020,
CA8 7JH,NTCA,117,01/08/2020,
CA8 7JJ,NTCA,117,01/08/2020,
CA8 7JL,NTCA,117,01/08/2020,
CA8 7JN,NTCA,117,01/08/2020,
CA8 7JQ,NTCA,117,01/08/2020,
CA8 7JR,NTCA,117,01/08/2020,
CA8 7JS,NTCA,117,01/08/2020,
CA8 7JT,NTCA,117,01/08/2020,
CA8 7JU,NTCA,117,01/08/2020,
CA8 7LA,NTCA,117,01/08/2020,
CA8 7LB,NTCA,117,01/08/2020,
CA8 7LD,NTCA,117,01/08/2020,
CA8 7LE,NTCA,117,01/08/2020,
CA8 7LF,NTCA,117,01/08/2020,
CA8 7LG,NTCA,117,01/08/2020,
CA8 7LH,NTCA,117,01/08/2020,
CA8 7LJ,NTCA,117,01/08/2020,
CA8 7LL,NTCA,117,01/08/2020,
CA8 7LN,NTCA,117,01/08/2020,
CA8 7LQ,NTCA,117,01/08/2020,
CA8 7LS,NTCA,117,01/08/2020,
CA8 7NE,NTCA,117,01/08/2020,
CA8 7NF,NTCA,117,01/08/2020,
CA8 7NH,NTCA,117,01/08/2020,
CA8 7NJ,NTCA,117,01/08/2020,
CA8 7NL,NTCA,117,01/08/2020,
CA8 7NN,NTCA,117,01/08/2020,
CA8 7NP,NTCA,117,01/08/2020,
CA8 7NR,NTCA,117,01/08/2020,
CA8 7NS,NTCA,117,01/08/2020,
CA8 7NW,NTCA,117,01/08/2020,
CA8 7PA,NTCA,117,01/08/2020,
CA8 7PB,NTCA,117,01/08/2020,
CA8 7PD,NTCA,117,01/08/2020,
CA8 7PE,NTCA,117,01/08/2020,
CA8 7PF,NTCA,117,01/08/2020,
CA8 7PG,NTCA,117,01/08/2020,
CA8 7PH,NTCA,117,01/08/2020,
CA8 7PJ,NTCA,117,01/08/2020,
CA8 7PL,NTCA,117,01/08/2020,
CA8 7PQ,NTCA,117,01/08/2020,
CA8 7TF,NTCA,117,01/08/2020,
CA9 3BG,NTCA,117,01/08/2020,
CA9 3LA,NTCA,117,01/08/2020,
CA9 3NH,NTCA,117,01/08/2020,
CA9 3NJ,NTCA,117,01/08/2020,
DH8 9BB,NTCA,117,01/08/2020,
DH8 9BD,NTCA,117,01/08/2020,
